  Node  id  | Distance | Name
  626127161 |  6882.82 | Gran Via
  386785604 |  7008.01 | Gran Via
  693847507 |  7156.68 | Gran Via
  693847478 |  7261.90 | Gran Via
  592155060 |  7397.91 | Gran Via
  592155054 |  7542.99 | Gran Via
  178534457 |  7666.11 | Gran Via
  693847463 |  7724.34 | Gran Via
  330421942 |  7851.80 | Gran Via
  900355295 |  8013.91 | Gran Via
  330421702 |  8185.32 | Gran Via
  760335893 |  8507.20 | Gran Via
  208606457 |  8884.90 | Gran Via
  242934134 |  9051.51 | Gran Via de les Corts Catalanes;Gran Via
  178534456 |  9321.99 | Gran Via de les Corts Catalanes
  442084611 |  9380.24 | 
  178534454 |  9420.56 | 
  242934159 |  9466.54 | 
  178534453 |  9545.70 | 
  528703075 |  9681.68 | 
  178534452 |  9932.80 | 
  178534451 | 10312.03 | 
  213383268 | 10399.39 | 
  213381051 | 10476.34 | 
  213381050 | 10542.21 | 
  213361229 | 10595.75 | 
  213361228 | 10655.39 | 
  213361227 | 10706.85 | 
  213361226 | 10752.99 | 
  213361225 | 10794.56 | 
  213361224 | 10845.15 | 
  213361222 | 11058.52 | 
  213361221 | 11175.51 | 
  213378846 | 11377.76 | 
  213378847 | 11448.34 | 
  213378849 | 11596.09 | 
  213378850 | 11794.86 | 
  213378851 | 11897.61 | 
  213378853 | 12024.14 | 
  213378854 | 12058.66 | 
  213378855 | 12120.30 | 
  213378857 | 12230.65 | 
  213378858 | 12313.07 | 
  213378859 | 12388.35 | 
  213378860 | 12439.48 | 
  213378861 | 12505.82 | 
  213378862 | 12574.33 | 
  213378863 | 12638.50 | 
  213378864 | 12701.18 | 
  213378865 | 12782.77 | 
  213378866 | 12828.77 | 
  213378868 | 12880.56 | 
  213378869 | 13002.85 | 
  675428477 | 13090.59 | 
  213378870 | 13192.07 | 
  213355922 | 13223.29 | 
  213355923 | 13235.22 | 
  213355924 | 13249.35 | 
  213354242 | 13262.48 | 
  213354240 | 13277.56 | 
  213354238 | 13290.19 | 
  516243675 | 13295.81 | 
  213354237 | 13305.93 | 
  213354235 | 13319.83 | 
  513651472 | 13364.78 | 
  513651475 | 13407.12 | 
  513651477 | 13449.45 | 
  513651479 | 13486.63 | 
  513651482 | 13528.63 | 
  513651485 | 13577.54 | 
  513651487 | 13610.54 | 
 1383170730 | 13654.27 | Carrer de les Salines
  513651490 | 13696.72 | 
  513651493 | 13741.50 | 
 1383170739 | 13751.31 | Carrer Castelló
  513651363 | 13799.69 | 
  516243556 | 13808.41 | 
  513651364 | 13815.80 | 
  516243559 | 13824.62 | 
 1383170740 | 13834.17 | 
  513651366 | 13837.77 | Carrer d&apos;Alacant
  513651367 | 13851.52 | Carrer d&apos;Alacant
 1383170726 | 13860.94 | 
  513651341 | 13867.56 | 
  513651342 | 14074.15 | 
  513651354 | 14082.80 | 
  885325409 | 14101.47 | 
 1128828459 | 14229.33 | Carrer de Múrcia;Carrer d&apos;Asturies
